ClienteID,Region,Sucursal,Canal,Producto,Fecha_Desembolso,Ingreso_Mensual_Gs,Score_Crediticio,Monto_Gs,TNA_%,Pagos_Por_Anio,Mora,Mora_Dias,Meses_Recuperacion
CLI-000050,Itapúa,Pilar,Sucursal,Vehicular,2024-08-11,11603443,612,24684220,16.26,12,1,150,0
CLI-000051,Guairá,Coronel Oviedo,App,Vivienda,2025-04-19,7941526,546,30000000,15.95,4,0,0,18
CLI-000052,San Pedro,Asunción San Lorenzo,Sucursal,Vivienda,2022-03-26,4540900,809,50820881,14.01,12,0,0,18
CLI-000053,Alto Paraná,Salto del Guairá,Online,Vivienda,2023-09-21,1800000,491,30000000,17.23,12,1,150,0
CLI-000054,Caazapá,Villa Hayes,Online,Educativo,2025-04-18,14645170,547,4000000,18.94,12,1,90,0
CLI-000055,Asunción,Filadelfia,Aliado,Vivienda,2025-02-05,6481749,473,30000000,17.69,4,1,120,0
CLI-000056,Asunción,Asunción Luque,Aliado,Tarjeta,2023-09-12,5010664,481,1909364,42.74,12,1,180,0
CLI-000057,Cordillera,Caazapá,Aliado,Vehicular,2022-08-27,7952346,516,12903470,15.56,4,0,0,14
CLI-000058,Asunción,San Juan Bautista,App,PyME,2024-07-05,4680586,761,20000000,22.16,12,0,0,47
CLI-000059,Alto Paraguay,Villarrica,Aliado,Vehicular,2024-02-13,1800000,632,14929806,15.23,6,1,300,0
CLI-000060,Guairá,Encarnación,App,PyME,2025-06-06,2840396,509,46341214,14.97,12,1,150,0
CLI-000061,Caaguazú,Filadelfia,Online,Educativo,2025-08-31,9440958,711,8167543,16.76,6,0,0,49
CLI-000062,San Pedro,Encarnación,Sucursal,Vivienda,2024-06-16,2778993,711,97385424,13.89,6,0,0,8
CLI-000063,Guairá,Encarnación,Aliado,PyME,2023-04-15,2401887,725,69224387,16.36,12,1,360,0
CLI-000064,Itapúa,Asunción Luque,Aliado,Tarjeta,2025-07-07,5337013,552,4528905,34.27,12,1,330,0
CLI-000065,Presidente Hayes,Coronel Oviedo,App,Vehicular,2024-08-21,3349798,583,10000000,22.52,6,0,0,61
CLI-000066,Central,Pilar,App,Educativo,2022-08-06,3538475,649,4000000,17.51,12,0,0,24
CLI-000067,Boquerón,Pedro Juan Caballero,Aliado,Vehicular,2024-11-09,5975587,587,10000000,21.33,6,0,0,48
CLI-000068,Paraguarí,Coronel Oviedo,App,Consumo,2023-03-06,6497971,620,10615814,38.05,4,0,0,53
CLI-000069,Paraguarí,Asunción Centro,Sucursal,Educativo,2025-07-20,7452069,800,10662264,14.1,12,0,0,28
CLI-000070,Alto Paraguay,Asunción Luque,App,Educativo,2024-02-18,9883568,486,5369197,17.0,12,1,210,0
CLI-000071,San Pedro,Caazapá,Sucursal,Consumo,2024-10-16,6889882,589,5082106,16.55,12,0,0,37
CLI-000072,San Pedro,Fuerte Olimpo,Online,Educativo,2022-12-04,8733526,670,4000000,11.38,12,0,0,48
CLI-000073,Misiones,Asunción Luque,Online,PyME,2025-04-11,6530444,660,20000000,18.23,4,1,180,0
CLI-000074,Alto Paraná,Villarrica,App,Consumo,2022-05-10,11010684,669,9553553,24.83,6,0,0,45
CLI-000075,Paraguarí,Fuerte Olimpo,Aliado,PyME,2022-03-21,7922194,561,70450434,30.52,4,0,0,29
CLI-000076,Cordillera,Encarnación,Online,Tarjeta,2025-04-01,6636929,629,1000000,43.33,12,0,0,14
CLI-000077,Caazapá,Encarnación,App,Tarjeta,2025-02-23,15384925,553,1181189,36.29,12,1,120,0
CLI-000078,Caazapá,Pilar,Online,Educativo,2024-03-08,3530568,586,11202225,11.29,12,1,210,0
CLI-000079,Cordillera,Caazapá,Sucursal,Vehicular,2022-10-14,7569111,489,31370063,21.61,6,1,300,0
CLI-000080,Central,Villa Hayes,Aliado,Vehicular,2024-05-21,11518543,508,10000000,21.38,12,0,0,21
CLI-000081,Paraguarí,Caacupé,App,Vivienda,2023-10-05,4442859,777,43425712,12.94,12,0,0,23
CLI-000082,Concepción,Asunción San Lorenzo,Online,PyME,2023-04-08,10530619,569,113678832,15.16,6,0,0,8
CLI-000083,Alto Paraguay,Encarnación,Sucursal,Vivienda,2022-12-31,15661006,513,30000000,13.18,6,0,0,57
CLI-000084,Presidente Hayes,Villa Hayes,App,Vivienda,2024-05-13,6185339,587,44961773,13.54,12,0,0,18
CLI-000085,Paraguarí,Concepción,Online,PyME,2022-02-08,4796150,498,47235469,16.55,12,0,0,60
CLI-000086,Boquerón,San Pedro del Ycuamandiyú,Sucursal,Vivienda,2024-01-31,6456111,519,58634754,15.35,4,0,0,38
CLI-000087,Caazapá,Villarrica,Online,PyME,2022-09-04,6426208,545,20000000,25.55,4,0,0,20
CLI-000088,Caaguazú,Pedro Juan Caballero,Aliado,Vehicular,2025-09-11,7370473,728,10000000,21.32,12,0,0,30
CLI-000089,Canindeyú,San Juan Bautista,App,PyME,2024-10-09,1800000,785,20000000,25.73,12,0,0,46
CLI-000090,Misiones,Pedro Juan Caballero,Online,Vehicular,2025-01-02,2808261,678,11988814,19.57,6,0,0,22
CLI-000091,Itapúa,Fuerte Olimpo,Online,Consumo,2024-12-26,5506291,573,5660329,30.98,4,1,120,0
CLI-000092,Caazapá,Salto del Guairá,Online,Consumo,2022-12-13,11331185,614,7292441,33.19,12,0,0,46
CLI-000093,Misiones,San Juan Bautista,App,Vehicular,2025-01-31,7959000,451,14505541,24.79,4,0,0,39
CLI-000094,Concepción,Fuerte Olimpo,Online,Vehicular,2024-10-06,8173469,519,49614593,18.84,12,0,0,49
CLI-000095,Alto Paraná,Pilar,Online,Tarjeta,2023-08-20,2891345,781,3103607,43.28,12,0,0,8
CLI-000096,Canindeyú,Ciudad del Este,Aliado,Consumo,2024-06-19,9383763,780,2000000,38.84,12,0,0,19
CLI-000097,San Pedro,Asunción San Lorenzo,Online,PyME,2024-02-20,4259642,751,31708904,29.62,4,0,0,8
CLI-000098,Asunción,Fuerte Olimpo,Sucursal,Vehicular,2022-11-13,11343792,778,13642977,12.73,12,0,0,5
CLI-000099,Ñeembucú,Coronel Oviedo,Online,Tarjeta,2022-06-18,14472133,492,6579212,32.65,12,0,0,24
CLI-000100,Alto Paraná,Salto del Guairá,App,Tarjeta,2023-02-20,4457267,711,1300705,46.51,12,0,0,10
CLI-000101,Caazapá,Villa Hayes,App,Tarjeta,2024-02-02,3724794,587,1126570,44.77,12,0,0,35
CLI-000102,Presidente Hayes,Concepción,App,Vehicular,2024-11-09,5275381,605,10404936,16.41,12,0,0,19
CLI-000103,Alto Paraguay,San Pedro del Ycuamandiyú,Aliado,Educativo,2022-03-19,5239113,648,5231433,11.63,12,0,0,46
CLI-000104,Cordillera,Ciudad del Este,Online,Tarjeta,2022-05-26,1800000,605,1851620,46.94,12,0,0,19
CLI-000105,Alto Paraguay,Asunción Luque,App,Vehicular,2022-10-15,8289472,449,16657554,18.5,12,0,0,24
CLI-000106,Cordillera,Pilar,Sucursal,Vehicular,2024-05-26,14156693,528,10000000,22.12,6,0,0,34
CLI-000107,Caazapá,Pedro Juan Caballero,Sucursal,Consumo,2024-05-17,4146586,649,8469510,20.1,6,0,0,59
CLI-000108,Canindeyú,Caazapá,App,Tarjeta,2025-01-17,11170663,530,1000000,44.38,12,1,360,0
CLI-000109,Misiones,Asunción Centro,Online,PyME,2022-03-31,8219782,608,110377459,23.09,12,0,0,39
CLI-000110,Cordillera,Caacupé,Sucursal,PyME,2025-04-27,3772925,568,33916551,20.87,6,0,0,46
CLI-000111,Central,Asunción San Lorenzo,Sucursal,Educativo,2024-11-05,14163295,710,4000000,16.38,6,0,0,25
CLI-000112,Misiones,Villarrica,Aliado,Vehicular,2025-02-03,4609415,570,11346173,24.15,12,0,0,48
CLI-000113,Caazapá,Villa Hayes,Online,PyME,2025-07-17,10249719,542,71064678,28.16,6,0,0,26
CLI-000114,Presidente Hayes,San Pedro del Ycuamandiyú,App,Tarjeta,2023-07-17,16363522,501,2679976,42.45,12,0,0,19
CLI-000115,San Pedro,Ciudad del Este,Aliado,Educativo,2023-07-15,2157665,719,4031406,21.81,6,1,210,0
CLI-000116,Central,Asunción San Lorenzo,Aliado,Educativo,2022-06-26,12559302,695,4000000,21.96,6,1,180,0
CLI-000117,Asunción,Asunción Centro,Aliado,Tarjeta,2023-10-27,5326225,560,1000000,48.68,12,0,0,34
CLI-000118,Canindeyú,Villarrica,App,Educativo,2022-12-28,2363814,640,4317483,13.41,6,1,240,0
CLI-000119,Alto Paraná,Concepción,Online,Consumo,2025-04-10,4420530,527,3333233,20.57,4,1,210,0
CLI-000120,Itapúa,Fuerte Olimpo,Online,PyME,2024-08-01,5208329,502,45309238,29.15,4,0,0,38
CLI-000121,Itapúa,Pilar,Aliado,Vehicular,2023-03-26,2707941,511,17602534,25.91,12,1,60,0
CLI-000122,Amambay,Asunción San Lorenzo,Sucursal,Consumo,2022-08-15,4211780,618,20577020,17.3,12,0,0,46
CLI-000123,Itapúa,Caazapá,App,Consumo,2022-08-30,11784245,636,4250512,36.56,12,1,60,0
CLI-000124,Concepción,Filadelfia,Sucursal,Consumo,2023-03-17,7003545,651,15400857,38.2,12,0,0,59
CLI-000125,Guairá,Villarrica,App,Consumo,2022-10-15,6236646,509,8902962,30.06,6,1,150,0
CLI-000126,Ñeembucú,San Pedro del Ycuamandiyú,App,Consumo,2024-03-12,16780575,730,23660953,36.92,12,0,0,15
CLI-000127,Boquerón,San Pedro del Ycuamandiyú,Online,PyME,2023-11-28,3844019,699,56567266,25.54,12,0,0,59
CLI-000128,Alto Paraná,Villarrica,Online,Consumo,2025-04-02,3332547,563,13360147,35.33,4,0,0,47
CLI-000129,San Pedro,Encarnación,App,Tarjeta,2022-04-12,7629140,618,1000000,30.89,12,0,0,60
CLI-000130,Cordillera,Encarnación,App,Consumo,2022-08-14,4171048,623,30501789,19.97,12,0,0,20
CLI-000131,Boquerón,Asunción Centro,Sucursal,Educativo,2025-07-21,2691156,599,4000000,18.33,6,0,0,56
CLI-000132,Guairá,Salto del Guairá,Online,Vivienda,2023-07-09,10483904,626,47144464,16.79,4,1,60,0
CLI-000133,Itapúa,Caacupé,Aliado,Educativo,2022-11-27,9554487,459,5033314,19.51,12,0,0,9
CLI-000134,Canindeyú,Villarrica,App,Vivienda,2022-05-09,9234155,487,91277360,15.94,4,0,0,60
CLI-000135,Ñeembucú,Fuerte Olimpo,Sucursal,Educativo,2025-03-07,6811919,718,12558692,18.65,12,1,150,0
CLI-000136,Caazapá,Pedro Juan Caballero,Online,Tarjeta,2023-06-04,12808385,709,2566165,49.64,12,1,360,0
CLI-000137,Caazapá,Ciudad del Este,Online,PyME,2022-07-14,9865132,567,20000000,23.26,4,0,0,20
CLI-000138,Guairá,Encarnación,App,Vivienda,2023-05-21,10440052,644,30741264,13.31,4,0,0,44
CLI-000139,Concepción,Asunción Centro,Online,Vehicular,2022-12-11,4862605,611,43584315,23.19,12,1,360,0
CLI-000140,Presidente Hayes,Villa Hayes,Sucursal,PyME,2023-01-08,9130738,599,20000000,21.38,4,1,60,0
CLI-000141,Alto Paraná,San Pedro del Ycuamandiyú,Aliado,Consumo,2023-03-14,9793559,636,32145891,33.74,6,0,0,11
CLI-000142,Caazapá,Encarnación,Online,Tarjeta,2024-03-24,4867286,575,1000000,48.76,12,1,210,0
CLI-000143,Central,Fuerte Olimpo,App,Consumo,2023-05-07,5426062,534,12396381,21.04,12,1,330,0
CLI-000144,Guairá,Salto del Guairá,App,Tarjeta,2025-03-17,3175035,564,1000000,34.35,12,0,0,57
CLI-000145,Alto Paraguay,Salto del Guairá,Sucursal,Consumo,2022-03-03,11249862,705,18790378,20.59,4,1,240,0
CLI-000146,Ñeembucú,San Juan Bautista,App,Educativo,2025-05-01,5421582,752,5516319,13.69,6,0,0,57
CLI-000147,Central,Coronel Oviedo,App,Educativo,2023-09-07,2125499,611,4126018,11.0,12,0,0,15
CLI-000148,San Pedro,San Juan Bautista,Sucursal,Vehicular,2023-03-19,5180263,617,22667906,18.42,6,0,0,10
CLI-000149,Cordillera,Pilar,Sucursal,Tarjeta,2025-03-10,20213114,663,3269791,38.23,12,0,0,44
CLI-000150,Amambay,Villa Hayes,Aliado,Vivienda,2022-11-07,4743358,548,30000000,12.43,4,1,240,0
CLI-000151,San Pedro,Pilar,Online,Tarjeta,2023-04-25,8274782,830,1716583,39.55,12,0,0,26
CLI-000152,Amambay,Pilar,App,Consumo,2025-05-21,3909916,706,10538689,35.2,12,1,150,0
CLI-000153,Alto Paraguay,Pilar,App,Consumo,2022-01-29,6180257,588,7880152,28.38,12,1,330,0
CLI-000154,Misiones,Coronel Oviedo,Aliado,Consumo,2024-11-11,6576362,652,7153003,37.16,6,0,0,6
CLI-000155,Concepción,Caazapá,App,PyME,2025-04-18,25188355,559,47328483,14.5,12,0,0,26
CLI-000156,Ñeembucú,Villarrica,Online,PyME,2022-07-19,3018424,490,24806067,17.63,4,1,300,0
CLI-000157,Alto Paraná,Pilar,Sucursal,Tarjeta,2023-04-25,7609829,574,3589492,48.15,12,0,0,41
CLI-000158,Concepción,Asunción Centro,Online,Tarjeta,2025-02-10,24266187,393,1000000,39.31,12,1,270,0
CLI-000159,Itapúa,Asunción Centro,App,Vehicular,2024-03-04,3114427,580,81746982,18.94,6,1,240,0
CLI-000160,Asunción,Filadelfia,Aliado,Educativo,2024-04-10,6614530,450,4000000,16.11,6,0,0,30
CLI-000161,San Pedro,Concepción,Online,PyME,2023-11-08,5783798,589,29013713,15.02,12,0,0,21
CLI-000162,Asunción,Ciudad del Este,Aliado,Consumo,2023-04-21,3444898,534,27982974,32.82,6,0,0,37
CLI-000163,Caazapá,Asunción Centro,Online,PyME,2022-12-21,6845437,653,62691964,14.49,12,0,0,13
CLI-000164,Guairá,Ciudad del Este,App,Vehicular,2023-01-25,3793974,506,39888451,15.41,4,1,240,0
CLI-000165,Caaguazú,Villarrica,Online,Consumo,2023-05-21,7008697,664,12651161,29.84,4,1,240,0
CLI-000166,Central,San Juan Bautista,Aliado,Educativo,2022-12-16,3585850,507,4000000,20.58,6,0,0,25
CLI-000167,Concepción,Caazapá,Aliado,Consumo,2022-03-16,4012747,620,8297765,23.75,4,0,0,29
CLI-000168,Cordillera,Asunción San Lorenzo,App,PyME,2023-09-09,5212580,548,20000000,16.27,12,0,0,25
CLI-000169,San Pedro,Caacupé,Online,Consumo,2024-03-08,4860485,642,12224553,17.94,12,1,90,0
CLI-000170,Ñeembucú,Asunción Luque,Aliado,Educativo,2022-12-08,4830693,499,11363409,16.0,6,0,0,25
CLI-000171,Alto Paraguay,Coronel Oviedo,Aliado,Vehicular,2022-05-29,2211966,486,13703207,14.41,6,0,0,38
CLI-000172,Concepción,Ciudad del Este,App,Vehicular,2022-06-01,1800000,795,10000000,25.7,4,0,0,13
CLI-000173,Presidente Hayes,Villarrica,Online,Educativo,2022-05-11,11095487,582,15064371,18.8,6,0,0,32
CLI-000174,Itapúa,Salto del Guairá,App,Tarjeta,2024-07-31,2267261,644,1361755,30.31,12,0,0,40
CLI-000175,Caaguazú,Villarrica,App,Tarjeta,2025-06-24,6260436,508,1000000,38.98,12,0,0,21
CLI-000176,Caazapá,Asunción Luque,Sucursal,PyME,2024-10-01,4347700,652,20000000,23.9,4,0,0,52
CLI-000177,Amambay,Coronel Oviedo,Aliado,Tarjeta,2024-08-08,6597154,657,1937149,41.92,12,0,0,43
CLI-000178,San Pedro,Pedro Juan Caballero,Online,Vivienda,2023-09-21,8960360,720,91662725,17.75,4,0,0,32
CLI-000179,Central,Asunción Centro,Aliado,PyME,2022-05-28,9484432,606,20000000,19.68,4,1,30,0
CLI-000180,Boquerón,Concepción,Online,Vehicular,2024-07-19,5578761,680,25332373,23.9,4,0,0,49
CLI-000181,Presidente Hayes,Asunción Centro,Sucursal,Educativo,2023-01-06,4983290,637,7601027,12.51,12,0,0,46
CLI-000182,Itapúa,Ciudad del Este,Aliado,Consumo,2025-09-02,4522806,650,25251421,20.61,4,0,0,19
CLI-000183,Paraguarí,Concepción,Sucursal,Consumo,2023-04-17,5659663,437,6095619,26.51,4,0,0,10
CLI-000184,Ñeembucú,Villarrica,Aliado,Educativo,2022-05-16,2403834,650,6243720,14.25,12,0,0,27
CLI-000185,Amambay,Ciudad del Este,Sucursal,PyME,2024-10-11,1800000,507,20000000,22.94,12,0,0,19
CLI-000186,San Pedro,Caacupé,Aliado,Consumo,2022-12-18,2301075,639,4944406,18.76,12,1,150,0
CLI-000187,Caazapá,Fuerte Olimpo,Online,Educativo,2022-05-05,7527987,703,8618477,17.93,6,1,240,0
CLI-000188,Canindeyú,Caacupé,App,Educativo,2025-02-24,4723794,747,7130693,10.43,12,0,0,48
CLI-000189,Central,Encarnación,App,Consumo,2022-10-03,9431660,435,8415800,28.75,4,0,0,41
CLI-000190,San Pedro,Asunción Luque,Sucursal,Consumo,2024-02-01,8960610,652,4678313,32.57,12,0,0,33
CLI-000191,Presidente Hayes,Asunción Centro,Aliado,Educativo,2024-10-04,7003296,592,4000000,17.15,12,0,0,16
CLI-000192,Alto Paraná,Villa Hayes,App,Vehicular,2023-12-28,15763594,486,10000000,25.44,6,0,0,10
CLI-000193,Boquerón,Caacupé,App,PyME,2024-03-09,4886514,768,64936714,20.88,4,0,0,58
CLI-000194,Cordillera,Ciudad del Este,Online,Vivienda,2025-05-07,4335349,662,56666088,14.89,12,0,0,41
CLI-000195,Alto Paraguay,Villarrica,Online,Vivienda,2023-11-03,4886060,492,149576519,15.18,6,1,150,0
CLI-000196,Ñeembucú,Villa Hayes,Aliado,PyME,2022-04-06,10035564,587,56708702,29.25,6,1,330,0
CLI-000197,Concepción,Caacupé,Online,Tarjeta,2022-02-15,3114901,611,1000000,34.74,12,1,210,0
CLI-000198,Canindeyú,Villarrica,Sucursal,Educativo,2022-11-08,3055835,573,23193617,17.19,6,0,0,33
CLI-000199,Itapúa,Asunción San Lorenzo,Online,Consumo,2022-08-09,9049532,514,25963453,21.93,6,1,90,0
CLI-000200,Caaguazú,Asunción San Lorenzo,Online,Educativo,2023-12-24,23389884,554,11429353,14.3,6,0,0,61
CLI-000201,Canindeyú,Encarnación,Online,Consumo,2025-05-04,6610212,725,48512551,21.68,6,0,0,58
CLI-000202,Guairá,Pilar,Aliado,PyME,2024-05-18,6844945,702,20000000,20.36,12,0,0,28
CLI-000203,Caaguazú,Villarrica,Aliado,Educativo,2024-05-12,7776388,725,6177518,17.77,12,0,0,21
CLI-000204,Amambay,Villarrica,Online,Tarjeta,2022-02-02,4044046,607,2993931,38.56,12,0,0,40
CLI-000205,San Pedro,San Pedro del Ycuamandiyú,Sucursal,Tarjeta,2025-02-24,7910728,608,2121433,34.92,12,0,0,13
CLI-000206,Itapúa,Asunción Luque,App,PyME,2025-05-24,8029315,599,20000000,31.32,4,1,210,0
CLI-000207,Paraguarí,Caacupé,App,PyME,2025-02-12,5182696,518,20384784,29.12,6,0,0,31
CLI-000208,Concepción,Villa Hayes,Online,PyME,2022-09-21,5251727,615,20000000,26.16,4,1,150,0
CLI-000209,Canindeyú,Asunción San Lorenzo,App,Tarjeta,2024-10-09,15631500,578,1023088,32.58,12,0,0,12
CLI-000210,Paraguarí,Asunción San Lorenzo,Sucursal,Vivienda,2022-04-08,6778277,549,30000000,15.31,12,0,0,55
CLI-000211,Itapúa,Asunción Centro,Aliado,Vehicular,2023-08-05,2976319,530,43661117,23.17,6,0,0,38
CLI-000212,Itapúa,Asunción Centro,App,Tarjeta,2023-09-28,17495632,778,1000000,44.11,12,0,0,38
CLI-000213,Guairá,Encarnación,App,PyME,2022-07-29,2521122,456,42781010,24.47,4,0,0,37
CLI-000214,Asunción,Villa Hayes,App,Vivienda,2022-02-18,17443330,691,30000000,13.21,4,0,0,35
CLI-000215,Amambay,Caazapá,Aliado,Consumo,2023-03-11,6132545,669,97564776,21.19,6,1,270,0
CLI-000216,Asunción,Caazapá,App,Consumo,2022-12-27,15881044,513,4218875,35.17,6,0,0,53
CLI-000217,San Pedro,Asunción San Lorenzo,Online,Consumo,2022-11-16,4839725,538,4236703,19.49,12,1,180,0
CLI-000218,Caaguazú,San Pedro del Ycuamandiyú,Aliado,Vivienda,2024-11-02,5001530,662,59359496,15.18,12,0,0,49
CLI-000219,Ñeembucú,Asunción Luque,Sucursal,Vivienda,2024-07-06,12963878,598,75535924,16.08,6,0,0,19
CLI-000220,Ñeembucú,Pedro Juan Caballero,Online,PyME,2022-09-25,3787257,677,59409657,24.05,4,0,0,39
CLI-000221,Concepción,Ciudad del Este,App,Vehicular,2022-12-21,4770330,665,41506378,24.96,12,0,0,30
CLI-000222,San Pedro,Villarrica,Sucursal,Consumo,2023-09-22,7790607,691,12044696,20.9,6,0,0,49
CLI-000223,Amambay,Asunción Centro,Online,Consumo,2022-12-18,10021151,537,10798828,16.54,4,1,150,0
CLI-000224,Paraguarí,Encarnación,Sucursal,Vivienda,2022-02-16,4511455,627,56714943,9.97,6,1,270,0
CLI-000225,Misiones,Encarnación,Online,Educativo,2023-09-09,6753392,510,4559321,10.15,6,0,0,43
CLI-000226,Boquerón,Ciudad del Este,Aliado,PyME,2025-04-20,3778530,401,27703841,15.65,6,1,300,0
CLI-000227,Central,Filadelfia,Sucursal,Vivienda,2022-11-05,1800000,741,53159408,15.98,6,0,0,59
CLI-000228,Cordillera,Asunción Centro,Online,PyME,2025-01-12,4039453,526,41120177,14.79,6,0,0,48
CLI-000229,Asunción,Villarrica,App,PyME,2022-06-30,7433589,634,20000000,26.72,12,0,0,31
CLI-000230,Guairá,Caacupé,Sucursal,Vehicular,2024-10-21,2452115,569,26044739,15.96,6,0,0,28
